|acronym|expansion|type|sample
57|HA|Hartslag|Generic|electrocardiogram: ongewijzigde hartslag met een oud as-infarct zonder aanwijzingen voor ischemie
58|HA|huisarts|Functie/Generic|aan de HA het verzoek om bij patient een paar keer de bloeddruk te controleren
59|HA|huisarts|Functie/Generic|beleid: expectatief, retour HA
60|HA|huisarts|Functie/Generic|het bovenstaande heb ik ook aan de HA laten weten.
61|HA|huisarts|Functie/Generic|patient iom HA aangeraden om met een fysiotherapeut verder te werken
62|HA|huisarts|Functie/Generic|uitstrijk afgenomen door: HA
63|HA|huisarts|Functie/Generic|doorverwijzer: HA
64|HA|huisarts|Functie/Generic|met angineuze klachten doorverwezen door HA
65|HA|huisarts|Functie/Generic|via de HA heeft ze de eerste 4 maanden orofaciale fysiotherapie gehad met dry-needling
66|HA|huisarts|Functie/Generic|advies voor HA: overweeg heronderzoek (na ten minste een jaar) in het geval van toegenomen klachten of verminderd dagelijks functioneren
